currency_from,currency_to,exchange_rate
GBP,BIF,2437.512019
GBP,BMD,1.183901
GBP,BND,1.66219
GBP,BOB,8.151837
GBP,BRL,6.421834
GBP,BSD,1.184008
GBP,BTC,5.7570198e-05
GBP,BTN,94.508424
GBP,BWP,15.15039
GBP,BYN,2.988478
GBP,BYR,23204.465676
GBP,BZD,2.386575
GBP,CAD,1.552154
GBP,CDF,2370.765359
GBP,CHF,1.164016
GBP,CLF,0.043307
GBP,CLP,1194.958634
GBP,CNY,7.998674
GBP,COP,5318.084684
GBP,CRC,811.664704
GBP,CUC,1.183901
GBP,CUP,31.373385
GBP,CVE,130.342802
GBP,CZK,28.88471
GBP,DJF,210.403068
GBP,DKK,8.78869
GBP,DOP,64.64704
GBP,DZD,174.202335
GBP,EGP,22.349572
GBP,ERN,17.75852
GBP,ETB,61.790633
GBP,EUR,1.180912
GBP,FJD,2.637966
GBP,FKP,0.997244
GBP,GBP,1
GBP,GEL,3.480831
GBP,GGP,0.997244
GBP,GHS,9.619704
GBP,GIP,0.997244
GBP,GMD,64.037225
GBP,GNF,10275.05315
GBP,GTQ,9.164212
GBP,GYD,247.714947
GBP,HKD,9.293371
GBP,HNL,29.108723
GBP,HRK,8.873577
GBP,HTG,137.200154
GBP,HUF,480.24365
GBP,IDR,17812.50555
GBP,ILS,4.142625
GBP,IMP,0.997244
GBP,INR,94.56832
GBP,IQD,1728.070346
GBP,IRR,50138.220843
GBP,ISK,164.266571
GBP,JEP,0.997244
GBP,JMD,179.731941
GBP,JOD,0.839382
GBP,JPY,164.527357
GBP,KES,139.939104
GBP,KGS,96.017772
GBP,KHR,4834.312938
GBP,KMF,550.070157
GBP,KPW,1065.511169
GBP,KRW,1559.026346
GBP,KWD,0.364755
GBP,KYD,0.986722
GBP,KZT,568.01871
GBP,LAK,17794.929196
GBP,LBP,1790.451247
GBP,LKR,427.409769
GBP,LRD,180.546299
GBP,LSL,18.752611
GBP,LTL,3.495753
GBP,LVL,0.71613
GBP,LYD,5.770204
GBP,MAD,12.247952
GBP,MDL,22.868521
GBP,MGA,4869.3985
GBP,MKD,72.818201
GBP,MMK,2192.179402
GBP,MNT,3722.967084
GBP,MOP,9.57311
GBP,MRO,422.652564
GBP,MUR,53.334846
GBP,MVR,18.172765
GBP,MWK,1215.300997
GBP,MXN,24.635998
GBP,MYR,5.261219
GBP,MZN,75.568582
GBP,NAD,18.753283
GBP,NGN,491.709254
GBP,NIO,42.452161
GBP,NOK,12.112141
GBP,NPR,151.2131
GBP,NZD,1.931464
GBP,OMR,0.455791
GBP,PAB,1.184008
GBP,PEN,4.683946
GBP,PGK,4.225517
GBP,PHP,66.688981
GBP,PKR,248.107532
GBP,PLN,5.6906
GBP,PYG,8123.939064
GBP,QAR,4.310621
GBP,RON,5.835564
GBP,RSD,138.581578
GBP,RUB,68.991813
GBP,RWF,1220.937384
GBP,SAR,4.444254
GBP,SBD,9.660598
GBP,SCR,15.504426
GBP,SDG,540.449273
GBP,SEK,12.518371
GBP,SGD,1.661131
GBP,SHP,1.63071
GBP,SLL,15591.979988
GBP,SOS,691.988614
GBP,SRD,26.618248
GBP,STD,24504.366829
GBP,SVC,10.360067
GBP,SYP,2974.586887
GBP,SZL,20.290875
GBP,THB,43.293497
GBP,TJS,12.224738
GBP,TMT,4.155494
GBP,TND,3.626883
GBP,TOP,2.798035
GBP,TRY,20.681687
GBP,TTD,8.017822
GBP,TWD,35.438547
GBP,TZS,2760.857848
GBP,UAH,34.955421
GBP,UGX,4457.805132
GBP,USD,1.183901
GBP,UYU,48.573644
GBP,UZS,12946.829393
GBP,VND,27726.96868
GBP,VUV,140.76116
GBP,WST,3.22136
GBP,XAF,775.425214
GBP,XAG,0.064165
GBP,XAU,0.000692
GBP,XCD,3.199553
GBP,XDR,0.902555
GBP,XOF,775.398115
GBP,XPF,133.958623
GBP,YER,296.271002
GBP,ZAR,20.288276
GBP,ZMK,10656.536097
GBP,ZMW,19.429458
GBP,ZWL,381.215739
HKD,AED,0.467923
HKD,AFN,11.210244
HKD,ALL,14.914045
HKD,AMD,52.565756
HKD,ANG,0.229611
HKD,AOA,55.111891
HKD,ARS,16.307953
HKD,AUD,0.188602
HKD,AWG,0.228987
HKD,AZN,0.21654
HKD,BAM,0.248773
HKD,BBD,0.257236
HKD,BDT,11.969495
HKD,BGN,0.248534
HKD,BHD,0.048024
HKD,BIF,262.285029
HKD,BMD,0.127392
HKD,BND,0.178858
HKD,BOB,0.877167
HKD,BRL,0.691012
HKD,BSD,0.127403
HKD,BTC,6.19476e-06
HKD,BTN,10.169445
HKD,BWP,1.630236
HKD,BYN,0.321571
HKD,BYR,2496.883673
HKD,BZD,0.256804
HKD,CAD,0.167017
HKD,CDF,255.10285
HKD,CHF,0.125252
HKD,CLF,0.00466
HKD,CLP,128.581832
HKD,CNY,0.860686
HKD,COP,572.244972
HKD,CRC,87.338031
HKD,CUC,0.127392
HKD,CUP,3.375889
HKD,CVE,14.025353
HKD,CZK,3.108098
HKD,DJF,22.640124
HKD,DKK,0.945695
HKD,DOP,6.956253
HKD,DZD,18.744796
HKD,EGP,2.404894
HKD,ERN,1.91088
HKD,ETB,6.648894
HKD,EUR,0.12707
HKD,FJD,0.283855
HKD,FKP,0.107307
HKD,GBP,0.107604
HKD,GEL,0.37455
HKD,GGP,0.107307
HKD,GHS,1.035115
HKD,GIP,0.107307
HKD,GMD,6.890635
HKD,GNF,1105.632545
HKD,GTQ,0.986102
HKD,GYD,26.655016
HKD,HKD,1
HKD,HNL,3.132203
